Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Display_Size_inch,Display_Type,RearCam,FrontCam,Battery_mAh,Processor,Warranty_Years,Specs
Samsung,Samsung Galaxy F05,"Samsung Galaxy F05 (Twilight Blue, 64 GB)",6249,9919.05,37%,4.2,4,64,6.74,HD+,50MP + 2MP,8MP,5000, Helio G85 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Helio G85 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Redmi,REDMI A3X,"REDMI A3X (Ocean Green, 128 GB)",6499,10831.67,40%,4.1,4,128,6.71,HD+,8MP Rear Camera,5MP,5000,Not Specified,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.04 cm (6.71 inch) HD+ Display; 8MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Motorola,MOTOROLA g05,"MOTOROLA g05 (Forest Green, 64 GB)",6999,9998.57,30%,4.2,4,64,6.67,HD+,50MP Rear Camera,8MP,5100, Helio G81 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5100 mAh Battery; Helio G81 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Poco,POCO C71,"POCO C71 (Power Black, 128 GB)",6999,9998.57,30%,4.1,6,128,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C71,"POCO C71 (Desert Gold, 128 GB)",6999,9998.57,30%,4.1,6,128,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C71  - Locked with Airtel Prepaid,"POCO C71  - Locked with Airtel Prepaid (Power Black, 64 GB)",5799,8921.54,35%,3.9,4,64,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C75 5G,"POCO C75 5G (Aqua Bliss, 64 GB)",7699,10998.57,30%,4.2,4,64,6.88,HD+,50MP Rear Camera,5MP,5160, 4s Gen 2 5G Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5160 mAh Battery; 4s Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Poco,POCO M7 5G - Locked with Airtel Prepaid,"POCO M7 5G - Locked with Airtel Prepaid (Ocean Blue, 128 GB)",8799,12939.71,32%,3.9,6,128,6.88,HD+,50MP Rear Camera,8MP,5160, 4 Gen 2 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5160 mAh Battery; 4 Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",9999,13887.5,28%,4.4,4,128,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Motorola,Motorola g45 5G,"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)",11999,14998.75,20%,4.3,8,128,6.52,HD+,50MP + 2MP,16MP,5000, Snapdragon 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Motorola,MOTOROLA g05,"MOTOROLA g05 (Plum Red, 64 GB)",6999,9998.57,30%,4.2,4,64,6.67,HD+,50MP Rear Camera,8MP,5100, Helio G81 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5100 mAh Battery; Helio G81 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Motorola,MOTOROLA g35 5G,"MOTOROLA g35 5G (Midnight Black, 128 GB)",8999,12498.61,28%,4.2,4,128,6.72,HD+,50MP + 8MP,16MP,5000, T760 Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.07 cm (6.72 inch) Full HD+ Display; 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; T760 Processor; 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology; 1 Year on Handset and 6 Months on Accessories
Vivo,vivo T4R 5G,"vivo T4R 5G (Arctic White, 128 GB)",19499,23492.77,17%,4.5,8,128,6.77,HD+,50MP (OIS) + 2MP,32MP,5700, Dimensity 7400 5G Processor,1,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP (OIS) + 2MP | 32MP Front Camera; 5700 mAh Battery; Dimensity 7400 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung M05,"Samsung M05 (Mint Green, 64 GB)",6717,9877.94,32%,4.3,4,64,6.7,HD+,Not Specified,Not Specified,5000,Not Specified,1,4 GB RAM | 64 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 5000 mAh Battery; 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Poco,POCO C71,"POCO C71 (Cool Blue, 64 GB)",6299,8998.57,30%,3.9,4,64,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C75 5G,"POCO C75 5G (Aqua Bliss, 128 GB)",8299,11368.49,27%,4.2,4,128,6.88,HD+,50MP Rear Camera,5MP,5160, 4s Gen 2 5G Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5160 mAh Battery; 4s Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",10999,14863.51,26%,4.4,6,128,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",10999,14863.51,26%,4.4,6,128,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo T4R 5G,"vivo T4R 5G (Twilight Blue, 128 GB)",19499,23492.77,17%,4.5,8,128,6.77,HD+,50MP (OIS) + 2MP,32MP,5700, Dimensity 7400 5G Processor,1,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP (OIS) + 2MP | 32MP Front Camera; 5700 mAh Battery; Dimensity 7400 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Poco,POCO C71,"POCO C71 (Power Black, 64 GB)",6299,8998.57,30%,3.9,4,64,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C75 5G,"POCO C75 5G (Enchanted Green, 64 GB)",7699,10998.57,30%,4.2,4,64,6.88,HD+,50MP Rear Camera,5MP,5160, 4s Gen 2 5G Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5160 mAh Battery; 4s Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Poco,POCO C71,"POCO C71 (Desert Gold, 64 GB)",6299,8998.57,30%,3.9,4,64,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",12999,16881.82,23%,4.3,8,256,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo T4x 5G,"vivo T4x 5G (Pronto Purple, 128 GB)",14999,19479.22,23%,4.4,8,128,6.72,HD+,50MP + 2MP,8MP,6500, Dimensity 7300 5G Processor,1,8 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories
Samsung,Samsung Galaxy F36 5G,"Samsung Galaxy F36 5G (Black, 128 GB)",18999,24357.69,22%,4.1,8,128,6.7,HD+,50MP + 8MP + 2MP,13MP,5000, Samsung Exynos 1380 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 8MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1380 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Motorola,Motorola g45 5G,"Motorola g45 5G (Brilliant Blue, 128 GB)",11999,14998.75,20%,4.3,8,128,6.52,HD+,50MP + 2MP,16MP,5000, Snapdragon 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Vivo,vivo T4x 5G,"vivo T4x 5G (Pronto Purple, 256 GB)",16999,20986.42,19%,4.4,8,256,6.72,HD+,50MP + 2MP,8MP,6500, Dimensity 7300 5G Processor,1,8 GB RAM | 256 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories
Poco,POCO F7 5G,"POCO F7 5G (Phantom Black, 512 GB)",33999,37776.67,10%,4.4,12,448,6.83,OLED,50MP Rear Camera,20MP,7500, 8s Gen 4 Processor,0,"12 GB RAM | 512 GB ROM; 17.35 cm (6.83 inch) Display; 50MP Rear Camera | 20MP Front Camera; 7550 mAh Li-Polymer + Silicon Carbon Battery; 8s Gen 4 Processor; Rear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recording; Front camera
-20MP with Portrait Mode | | Front Video Recording | Night Mode; Display
-6.83 inch 1.5K pOLED with 120 Hz refresh rate; Battery
7550mAh, 90W charger, 22.5W reverse charging; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Realme,realme P3 5G,"realme P3 5G (Comet Grey, 128 GB)",15999,19998.75,20%,4.4,6,128,6.67,HD+,50MP + 2MP,16MP,6000, 6 Gen 4 Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; 6 Gen 4 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Motorola,Motorola G85 5G,"Motorola G85 5G (Olive Green, 128 GB)",15999,20777.92,23%,4.4,8,128,6.67,HD+,50MP + 8MP,32MP,5000, 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5000 mAh Battery; 6s Gen 3 Processor; 1 Year on Handset and 6 Months on Accessories
Poco,POCO M6 Plus 5G,"POCO M6 Plus 5G (Ice Silver, 128 GB)",9999,15871.43,37%,4.2,6,128,6.79,HD+,108MP + 2MP,13MP,5030, Snapdragon 4 Gen2 AE Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.25 cm (6.79 inch) Full HD+ Display; 108MP + 2MP | 13MP Front Camera; 5030 mAh Battery; Snapdragon 4 Gen2 AE Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Poco,POCO C71,"POCO C71 (Cool Blue, 128 GB)",6999,9998.57,30%,4.1,6,128,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Motorola,Motorola g45 5G,"Motorola g45 5G (Viva Magenta, 128 GB)",11999,14998.75,20%,4.3,8,128,6.52,HD+,50MP + 2MP,16MP,5000, Snapdragon 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Vivo,vivo T4 5G,"vivo T4 5G (Phantom Grey, 256 GB)",23999,27905.81,14%,4.5,8,256,6.77,HD+,50MP (OIS) + 2MP,32MP,7300, Snapdragon 7s Gen 3 5G Processor,1,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP (OIS) + 2MP | 32MP Front Camera; 7300 mAh Battery; Snapdragon 7s Gen 3 5G Processor; 1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories
Poco,POCO M7 Plus 5G,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",14499,17900,19%,4.1,8,128,6.9,HD+,Not Specified,Not Specified,7000, Snapdragon 6s Gen 3 5G Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.53 cm (6.9 inch) Display; 50MP AI Dual Camera; 7000 mAh Battery; Snapdragon 6s Gen 3 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Iqoo,IQOO Z10X 5G,"IQOO Z10X 5G (Ultramarine, 128 GB)",13699,17340.51,21%,4.4,6,128,6.7,HD+,Not Specified,Not Specified,6500,Not Specified,1,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 6500 mAh Battery; 1 Year on Handset and 6 Months on Accessories
Poco,POCO M7 Plus 5G,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",13499,16873.75,20%,4.2,6,128,6.9,HD+,Not Specified,Not Specified,7000, Snapdragon 6s Gen 3 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.53 cm (6.9 inch) Display; 50MP AI Dual Camera; 7000 mAh Battery; Snapdragon 6s Gen 3 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Realme,realme C61,"realme C61 (Marble Black, 64 GB)",7699,8952.33,14%,4.4,4,64,6.745,HD+,32MP Rear Camera,5MP,5000, T612 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.13 cm (6.745 inch) HD+ Display; 32MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T612 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Iqoo,IQOO Z10X 5G,"IQOO Z10X 5G (Titanium, 128 GB)",13689,17327.85,21%,4.4,6,128,6.7,HD+,Not Specified,Not Specified,6500,Not Specified,1,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 6500 mAh Battery; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Realme,realme 15T 5G,"realme 15T 5G (Suit Titanium, 128 GB)",20999,22825,8%,4.2,8,128,6.57,HD+,50MP + 2MP,50MP,7000, MediaTek Dimensity 6400 MAX Processor,1,8 GB RAM | 128 GB ROM; 16.69 cm (6.57 inch) Full HD Display; 50MP + 2MP | 50MP Front Camera; 7000 mAh Battery; MediaTek Dimensity 6400 MAX Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Motorola,MOTOROLA G86 Power 5G,"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)",16999,19998.82,15%,4.3,8,128,6.7,HD+,50MP + 8MP,32MP,6720, Dimensity 7400 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.02 cm (6.7 inch) Super HD Display; 50MP + 8MP | 32MP Front Camera; 6720 mAh Battery; Dimensity 7400 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Infinix,Infinix Hot 60 5G+,"Infinix Hot 60 5G+ (Shadow Blue, 128 GB)",10499,13998.67,25%,4.3,6,128,6.7,HD+,50MP Rear Camera,8MP,5200, Dimensity 7020 Processor,1,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Dimensity 7020 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)",12999,16881.82,23%,4.3,8,256,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Motorola,MOTOROLA G96 5G,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",17999,20929.07,14%,4.4,8,128,6.67,HD+,50MP + 8MP,32MP,5500, 7s Gen 2 Processor,1,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5500 mAh Battery; 7s Gen 2 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Motorola,MOTOROLA g35 5G,"MOTOROLA g35 5G (Guava Red, 128 GB)",8999,12498.61,28%,4.2,4,128,6.72,HD+,50MP + 8MP,16MP,5000, T760 Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.07 cm (6.72 inch) Full HD+ Display; 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; T760 Processor; 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology; 1 Year on Handset and 6 Months on Accessories
Vivo,vivo T4x 5G,"vivo T4x 5G (Pronto Purple, 128 GB)",13999,17947.44,22%,4.4,6,128,6.72,HD+,50MP + 2MP,8MP,6500, Dimensity 7300 5G Processor,1,6 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories
Realme,realme 15T 5G,"realme 15T 5G (Suit Titanium, 256 GB)",22999,24998.91,8%,4.2,8,256,6.57,HD+,50MP + 2MP,50MP,7000, MediaTek Dimensity 6400 MAX Processor,1,8 GB RAM | 256 GB ROM; 16.69 cm (6.57 inch) Full HD Display; 50MP + 2MP | 50MP Front Camera; 7000 mAh Battery; MediaTek Dimensity 6400 MAX Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo T4x 5G,"vivo T4x 5G (Marine Blue, 128 GB)",14999,19479.22,23%,4.4,8,128,6.72,HD+,50MP + 2MP,8MP,6500, Dimensity 7300 5G Processor,1,8 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories
Motorola,MOTOROLA Edge 60 Fusion 5G,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",22999,25841.57,11%,4.5,8,256,6.67,HD+,50MP + 13MP,32MP,5500, Dimensity 7400 Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) Display; 50MP + 13MP | 32MP Front Camera; 5500 mAh Battery; Dimensity 7400 Processor; 68W Charger; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Oneplus,OnePlus Nord CE5 5G,"OnePlus Nord CE5 5G (Black Infinity, 256 GB)",26098,26905.15,3%,4.5,8,256,6.77,HD+,Not Specified,Not Specified,7100,Not Specified,1,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 7100 mAh Battery; 1 Year Warranty
Oppo,OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",11999,15998.67,25%,4.4,4,128,6.67,HD+,50MP + 2MP,8MP,6000, Dimensity 6300 Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 6000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Oneplus,OnePlus 13R 5G,"OnePlus 13R 5G (Nebula Noir, 256 GB)",41998,44678.72,6%,4.5,12,256,6.78,HD+,Not Specified,Not Specified,6000,Not Specified,1,12 GB RAM | 256 GB ROM; 17.22 cm (6.78 inch) Display; 50MP Rear Camera; 6000 mAh Battery; 1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
Realme,realme P3 5G,"realme P3 5G (Space Silver, 128 GB)",15999,19998.75,20%,4.4,6,128,6.67,HD+,50MP + 2MP,16MP,6000, 6 Gen 4 Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; 6 Gen 4 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Unknown,Ai+ Pulse,"Ai+ Pulse (Pink, 64 GB)",5999,7998.67,25%,4.2,4,64,6.745,HD+,50MP Rear Camera,5MP,5000, T615 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T615 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
Motorola,Motorola G85 5G,"Motorola G85 5G (Viva Magenta, 128 GB)",15999,20777.92,23%,4.4,8,128,6.67,HD+,50MP + 8MP,32MP,5000, 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5000 mAh Battery; 6s Gen 3 Processor; 1 Year on Handset and 6 Months on Accessories
Oneplus,OnePlus Nord CE5 5G,"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)",25942,26744.33,3%,4.5,8,256,6.77,HD+,Not Specified,Not Specified,7100,Not Specified,1,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 7100 mAh Battery; 1 Year Warranty
Redmi,REDMI A3X,"REDMI A3X (Olive Green, 128 GB)",6499,10831.67,40%,4.1,4,128,6.71,HD+,8MP Rear Camera,5MP,5000,Not Specified,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.04 cm (6.71 inch) HD+ Display; 8MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Iqoo,IQOO Neo 10R 5G,"IQOO Neo 10R 5G (MoonKnight Titanium, 256 GB)",28989,35788.89,19%,4.5,12,256,6.78,HD+,Not Specified,Not Specified,6400,Not Specified,1,12 GB RAM | 256 GB ROM; 17.22 cm (6.78 inch) Display; 50MP Rear Camera; 6400 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",9999,13887.5,28%,4.4,4,128,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
