Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Display_Size_inch,Display_Type,RearCam,FrontCam,Battery_mAh,Processor,Warranty_Years,Specs
Realme,realme 14 Pro 5G,"realme 14 Pro 5G (Suede Grey, 128 GB)",24999,27776.67,10%,4.4,8,128,6.77,HD+,50MP + 2MP,16MP,6000, Dimensity 7300 Energy Processor,1,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 7300 Energy Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Apple,Apple iPhone 14,"Apple iPhone 14 (Starlight, 128 GB)",49853.5,59539.33,11%,4.6,8,128,6.52,Retina,12MP + 12MP,12MP,5160, 6 Core Processor Processor,1,"128 GB ROM; 15.49 cm (6.1 inch) Super Retina XDR Display; 12MP + 12MP | 12MP Front Camera; A15 Bionic Chip, 6 Core Processor Processor; 1 year warranty for phone and 1 year warranty for in Box Accessories."
Oneplus,OnePlus 13s 5G,"OnePlus 13s 5G (Green Silk, 256 GB)",49853.5,57605.43,8%,4.5,12,256,6.52,HD+,Not Specified,Not Specified,5850,Not Specified,1,12 GB RAM | 256 GB ROM; 16.05 cm (6.32 inch) Display; 50MP Rear Camera; 5850 mAh Battery; 1 Year Warranty
Samsung,Samsung Galaxy A16 5G,"Samsung Galaxy A16 5G (Blue Black, 128 GB)",14887,19849.33,25%,4.2,6,128,6.7,HD+,50MP + 5MP + 2MP,13MP,5000, Dimensity 6300 Processor,1,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 5MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for Inbox Accessories
Samsung,Samsung Galaxy Z Fold6 5G,"Samsung Galaxy Z Fold6 5G (Navy, 256 GB)",49853.5,61487.845,31%,4.4,12,256,6.92,HD+,50MP + 12MP + 10MP,10MP,4400, Snapdragon 8 Gen 3 Processor,1,12 GB RAM | 256 GB ROM; 19.3 cm (7.6 inch) QXGA+ Display; 50MP + 12MP + 10MP | 10MP Front Camera; 4400 mAh Lithium ion Battery; Snapdragon 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Realme,realme C63 5G Charger in the Box,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",10999,12940,15%,4.4,4,128,6.67,HD+,32MP Rear Camera,8MP,5000, Dimensity 6300 Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme C63 5G Charger in the Box,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",12999,14941.38,13%,4.4,8,128,6.67,HD+,32MP Rear Camera,8MP,5000, Dimensity 6300 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung M36 5G,"Samsung M36 5G (Serene Green / Light Green, 128 GB)",18439,24261.84,24%,4,8,128,6.7,HD+,Not Specified,Not Specified,5000,Not Specified,1,8 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 5000 mAh Battery; 1 Year Warranty
Oppo,OPPO K13 Turbo 5G,"OPPO K13 Turbo 5G (Purple Phantom, 128 GB)",27999,33733.73,17%,4.7,8,128,6.8,HD+,50MP + 2MP,16MP,7000, Dimensity 8450 Processor,1,8 GB RAM | 128 GB ROM; 17.27 cm (6.8 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 7000 mAh Battery; Dimensity 8450 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung Galaxy A16 5G,"Samsung Galaxy A16 5G (Gold, 128 GB)",14999,19998.67,25%,4.2,6,128,6.7,HD+,50MP + 5MP + 2MP,13MP,5000, Dimensity 6300 Processor,1,6 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 5MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for Inbox Accessories
Oppo,OPPO RENO 13 5G,"OPPO RENO 13 5G (White, 128 GB)",29000,41428.57,30%,4.2,8,128,6.59,HD+,Not Specified,Not Specified,5600,Not Specified,1,8 GB RAM | 128 GB ROM; 16.74 cm (6.59 inch) Display; 50MP Rear Camera; 5600 mAh Battery; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Unknown,Ai+ Nova 5G,"Ai+ Nova 5G (Green, 128 GB)",8999,10974.39,18%,4,6,128,6.745,HD+,50MP Rear Camera,5MP,5000, T8200 Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T8200 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
Samsung,Samsung Galaxy A55 5G,"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)",45999,45999,0%,4.4,8,256,6.6,HD+,50MP + 12MP + 5MP,32MP,5000, Exynos 1480 Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.76 cm (6.6 inch) Full HD+ Display; 50MP + 12MP + 5MP | 32MP Front Camera; 5000 mAh Battery; Exynos 1480 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Oppo,OPPO Reno13 Pro 5G,"OPPO Reno13 Pro 5G (Graphite Grey, 256 GB)",24999,54345.65,51%,4.5,12,256,6.83,HD+,50MP + 50MP + 8MP,50MP,5800, Dimensity 8350 Processor,1,12 GB RAM | 256 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 50MP + 8MP | 50MP Front Camera; 5800 mAh Battery; Dimensity 8350 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Itel,itel A80,"itel A80 (Glacier White, 128 GB)",6899,8959.74,23%,4.2,4,128,6.7,HD+,Not Specified,Not Specified,5000,Not Specified,1,4 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 5000 mAh Battery; 1 year Manufacturer Warranty
Samsung,Samsung Galaxy A56 5G,"Samsung Galaxy A56 5G (Awesome Olive, 256 GB)",40999,52562.82,22%,4.4,12,256,6.7,HD+,50MP + 12MP + 5MP,12MP,5000, Samsung Exynos 1580 Processor,1,12 GB RAM | 256 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 12MP + 5MP | 12MP Front Camera; 5000 mAh Battery; Samsung Exynos 1580 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
